pos,freq
ADVB,119863
NOUN,322226
VERB,239992
PREP,141774
NPRO,190312
GRND,5490
PRTF,4858
ADJF,131785
CONJ,182670
INFN,61048
PRCL,126835
PRTS,4419
ADJS,14419
INTJ,2283
PRED,15894
COMP,7397
NUMR,10113
