pos,freq
NOUN,777054
CONJ,361895
PREP,329526
ADJF,317092
NPRO,246124
ADVB,233016
INFN,118962
VERB,413155
PRTF,26996
PRCL,204313
ADJS,22681
GRND,20091
COMP,13946
PRED,23717
NUMR,21044
PRTS,9339
INTJ,2167
