pos,freq
NOUN,530622
ADJF,203561
VERB,330370
NPRO,185444
INFN,64439
CONJ,253970
PRCL,133321
PREP,223633
ADVB,170121
ADJS,15495
COMP,8752
PRTS,4919
PRED,12776
GRND,15940
NUMR,9066
PRTF,19059
INTJ,1517
