pos,freq
NOUN,233123
ADJF,85451
VERB,167322
NPRO,116065
ADVB,79131
PRCL,74402
ADJS,8186
PREP,95340
CONJ,104504
INFN,29036
COMP,4411
INTJ,3148
PRTF,3158
NUMR,7661
PRED,8309
GRND,2602
PRTS,2279
