,0
INFN,29823
PRCL,84937
VERB,177727
ADVB,82406
PREP,89626
NPRO,134789
NOUN,224332
ADJF,72053
PRED,10254
NUMR,4425
CONJ,115646
PRTF,3106
GRND,5810
ADJS,7477
COMP,4309
PRTS,1840
INTJ,2393
